nodes,threads,time,max_memory,cpu_percentage
1,1,5:12.18,28828,0
1,2,2:41.10,29556,0
1,4,1:25.78,28308,0
1,8,1:00.65,29136,0
1,16,0:57.45,29068,0
2,1,5:22.77,30128,0
2,2,2:46.99,30120,0
2,4,1:33.85,29204,0
2,8,1:14.22,29284,0
2,16,1:04.60,28840,0
4,1,5:29.54,30028,0
4,2,3:10.95,29808,0
4,4,2:54.85,29312,0
4,8,2:45.36,29600,0
4,16,2:39.15,30128,0
8,1,6:28.78,29640,0
8,2,6:30.25,29336,0
8,4,6:11.88,29832,0
8,8,6:05.06,30096,0
8,16,6:04.13,29580,0
16,1,14:07.37,29576,0
16,2,10:24.14,29832,0
16,4,8:06.42,29812,0
16,8,7:05.37,29820,0
16,16,6:33.49,30264,0
