nodes,threads,time,max_memory,cpu_percentage
1,1,5:11.68,166664,108
1,2,2:43.59,167300,215
1,4,1:24.49,167064,423
1,8,0:59.91,167720,734
1,16,0:56.45,167536,1466
2,1,5:16.92,144592,206
2,2,2:48.14,144696,309
2,4,1:30.58,145092,521
2,8,1:14.30,145308,763
2,16,1:05.40,146224,1368
4,1,5:22.77,145068,405
4,2,3:07.98,144788,701
4,4,2:50.38,145056,1142
4,8,2:43.80,145288,1571
4,16,2:39.22,145912,1584
8,1,6:41.33,144316,793
8,2,6:33.50,144304,1391
8,4,6:16.68,144892,1580
8,8,6:06.47,144860,1593
8,16,6:03.94,145680,1594
16,1,14:29.40,144252,1592
16,2,10:28.49,144468,1589
16,4,8:16.28,145216,1587
16,8,7:07.30,145524,1595
16,16,6:40.48,146072,1584
