nodes,threads,time,max_memory,cpu_percentage
1,1,5:19.01,167084,108
1,2,2:38.94,167072,215
1,4,1:28.52,167176,423
1,8,0:59.41,167564,736
1,16,0:56.91,167648,1471
2,1,5:17.35,145104,206
2,2,2:50.99,144804,314
2,4,1:31.78,145064,522
2,8,1:15.53,145612,758
2,16,1:04.51,146172,1372
4,1,5:41.95,144124,414
4,2,3:19.04,144476,705
4,4,2:54.74,145116,1169
4,8,2:47.31,145176,1576
4,16,2:44.07,146028,1557
8,1,6:50.54,144168,807
8,2,6:25.47,144572,1147
8,4,4:31.10,145444,1580
8,8,4:04.26,145524,1586
8,16,3:48.34,145552,1585
16,1,14:27.50,144200,1594
16,2,9:23.51,144720,1582
16,4,6:44.98,145228,1587
16,8,5:12.94,145500,1584
16,16,4:24.49,145748,1564
