nodes,threads,time,max_memory,cpu_percentage
1,1,41:07.76,63636,99
1,2,21:04.94,62296,199
1,4,11:06.51,62556,396
1,8,6:35.63,62368,782
1,16,6:49.51,63192,1561
2,1,41:37.06,56700,199
2,2,21:03.74,57664,299
2,4,11:59.43,56804,494
2,8,9:31.65,56384,706
2,16,7:49.88,57020,1460
4,1,15:56.38,57732,399
4,2,9:33.94,57740,659
4,4,7:57.90,57128,1063
4,8,7:23.23,57004,1564
4,16,7:11.30,56948,1593
8,1,13:14.09,57060,796
8,2,12:56.44,57284,1151
8,4,9:41.91,57100,1412
8,8,7:55.59,57824,1570
8,16,7:43.45,57504,1576
16,1,14:28.28,57552,1592
16,2,11:02.10,58292,1598
16,4,9:00.54,57368,1588
16,8,7:58.23,57192,1597
16,16,7:33.48,57068,1586
