nodes,threads,time,max_memory,cpu_percentage
1,1,5:14.51,41240,0
1,2,2:38.84,42200,0
1,4,1:25.62,41844,0
1,8,0:59.47,42392,0
1,16,0:57.12,41456,0
2,1,5:16.80,41700,0
2,2,2:44.58,41800,0
2,4,1:33.56,42080,0
2,8,1:14.18,42000,0
2,16,1:01.51,41264,0
4,1,5:26.20,42100,0
4,2,3:13.69,41792,0
4,4,2:51.80,42548,0
4,8,2:44.47,42064,0
4,16,2:42.10,41200,0
8,1,6:31.86,42432,0
8,2,6:27.68,41960,0
8,4,6:17.01,41400,0
8,8,6:06.63,41716,0
8,16,6:05.54,41708,0
16,1,14:10.18,41848,0
16,2,10:29.92,41348,0
16,4,8:16.97,41264,0
16,8,7:09.80,42304,0
16,16,6:38.66,42004,0
