nodes,threads,time,max_memory,cpu_percentage
1,1,5:13.59,41384,0
1,2,2:42.63,41544,0
1,4,1:25.39,41960,0
1,8,1:01.21,41424,0
1,16,0:57.80,41372,0
2,1,5:30.27,41664,0
2,2,2:58.52,41512,0
2,4,1:30.58,41100,0
2,8,1:14.94,42292,0
2,16,1:02.82,41544,0
4,1,5:47.11,42184,0
4,2,3:17.70,42012,0
4,4,2:56.54,42248,0
4,8,2:47.40,41820,0
4,16,2:43.37,42432,0
8,1,6:43.81,41276,0
8,2,6:30.49,41336,0
8,4,4:32.06,41620,0
8,8,4:07.05,42072,0
8,16,3:48.97,42292,0
16,1,14:51.08,41672,0
16,2,9:24.96,41448,0
16,4,6:47.08,41356,0
16,8,5:18.35,41684,0
16,16,4:25.31,42176,0
