nodes,threads,time,max_memory,cpu_percentage
1,1,29:54.98,27248,0
1,2,15:51.56,27408,0
1,4,9:11.41,27040,0
1,8,5:04.35,27488,0
1,16,4:30.25,27584,0
2,1,32:22.42,27456,0
2,2,16:34.15,27360,0
2,4,8:54.05,27968,0
2,8,5:18.04,27408,0
2,16,4:48.41,27120,0
4,1,12:25.84,27296,0
4,2,7:09.82,27424,0
4,4,4:56.17,27376,0
4,8,4:35.30,26976,0
4,16,4:23.92,27360,0
8,1,9:53.47,27536,0
8,2,6:28.01,27760,0
8,4,5:26.75,27216,0
8,8,5:03.35,26880,0
8,16,4:40.15,27184,0
16,1,8:56.60,27024,0
16,2,6:53.59,26912,0
16,4,5:19.30,27664,0
16,8,4:49.00,27248,0
16,16,4:31.75,27296,0
