nodes,threads,time,max_memory,cpu_percentage
1,1,2:17:27,29472,0
1,2,1:12:08,28800,0
1,4,37:30.20,29520,0
1,8,27:18.79,29360,0
1,16,27:05.19,29712,0
2,1,2:24:28,29184,0
2,2,1:13:09,29088,0
2,4,42:36.33,29520,0
2,8,31:23.55,29680,0
2,16,29:05.53,29936,0
4,1,55:43.15,29408,0
4,2,36:51.26,29184,0
4,4,30:44.13,29328,0
4,8,28:42.73,29680,0
4,16,27:35.26,30016,0
8,1,53:21.07,29440,0
8,2,40:23.60,30064,0
8,4,35:23.61,29392,0
8,8,30:39.23,29264,0
8,16,28:47.69,29264,0
16,1,53:43.98,29168,0
16,2,40:27.40,28912,0
16,4,33:44.70,29088,0
16,8,30:50.36,29248,0
16,16,27:54.10,29392,0
