nodes,threads,time,max_memory,cpu_percentage
1,1,41:39.09,29640,0
1,2,20:55.95,29948,0
1,4,10:52.33,29616,0
1,8,6:28.04,29508,0
1,16,6:44.09,29668,0
2,1,41:24.80,29976,0
2,2,21:02.23,29860,0
2,4,11:38.05,29320,0
2,8,9:08.49,29652,0
2,16,7:40.29,29864,0
4,1,17:34.20,29304,0
4,2,9:11.03,29416,0
4,4,7:56.76,29840,0
4,8,7:20.94,29784,0
4,16,7:06.96,29764,0
8,1,13:02.42,29548,0
8,2,9:43.08,29812,0
8,4,9:31.72,29612,0
8,8,7:54.19,29160,0
8,16,7:39.06,29876,0
16,1,14:39.20,29956,0
16,2,11:02.38,30016,0
16,4,8:50.59,29428,0
16,8,7:51.83,29288,0
16,16,7:25.63,29520,0
