nodes,threads,time,max_memory,cpu_percentage
1,1,5:18.34,29252,0
1,2,2:39.61,29296,0
1,4,1:28.66,29320,0
1,8,1:00.84,29164,0
1,16,0:57.28,28896,0
2,1,5:26.20,29552,0
2,2,2:45.60,29892,0
2,4,1:33.55,29544,0
2,8,1:13.24,29244,0
2,16,1:03.55,29108,0
4,1,5:47.96,29436,0
4,2,3:19.74,29744,0
4,4,2:56.83,28988,0
4,8,2:47.12,29644,0
4,16,2:42.06,29792,0
8,1,6:44.38,30088,0
8,2,6:22.31,29228,0
8,4,4:31.57,29596,0
8,8,4:01.78,29956,0
8,16,3:44.89,29624,0
16,1,14:26.11,29736,0
16,2,9:15.46,29900,0
16,4,6:40.76,29804,0
16,8,5:06.73,29460,0
16,16,4:20.46,29516,0
