nodes,threads,time,max_memory,cpu_percentage
1,1,41:55.21,62728,99
1,2,20:53.18,63096,199
1,4,11:04.69,62644,395
1,8,6:30.72,62356,780
1,16,6:46.76,62876,1556
2,1,41:29.49,56512,199
2,2,21:09.36,56680,299
2,4,11:37.22,57064,492
2,8,9:05.73,57176,715
2,16,7:40.89,56896,1455
4,1,15:52.85,56964,399
4,2,9:18.59,57296,660
4,4,7:45.64,56836,1071
4,8,7:18.55,56972,1567
4,16,7:09.30,57020,1582
8,1,12:47.87,57804,799
8,2,12:47.21,56448,1145
8,4,9:28.34,57088,1420
8,8,7:49.23,56916,1568
8,16,7:32.19,57616,1573
16,1,14:01.96,57700,1592
16,2,10:49.02,58056,1590
16,4,8:51.22,57472,1587
16,8,7:47.56,57168,1596
16,16,7:20.44,58024,1596
