nodes,threads,time,max_memory,cpu_percentage
1,1,41:39.16,40844,0
1,2,21:06.51,41420,0
1,4,11:05.38,41384,0
1,8,6:40.51,40968,0
1,16,6:53.53,41416,0
2,1,42:54.04,41296,0
2,2,21:41.72,41044,0
2,4,12:04.50,41928,0
2,8,9:29.61,41904,0
2,16,7:47.63,41116,0
4,1,16:13.92,40888,0
4,2,9:27.28,40812,0
4,4,8:03.88,41072,0
4,8,7:28.66,41100,0
4,16,7:15.93,41492,0
8,1,13:16.84,41648,0
8,2,12:56.89,41576,0
8,4,9:41.62,41020,0
8,8,7:57.89,41424,0
8,16,7:44.91,41236,0
16,1,14:30.28,41648,0
16,2,11:01.10,40860,0
16,4,9:06.24,40692,0
16,8,8:00.46,41820,0
16,16,7:36.25,40480,0
